"par_pctile","par_mean","k_mean","k_rank","k_top1pc","k_top5pc","k_top10pc","k_q5","k_q4","k_q3","k_q2","k_q1","k_nowork","married","k_median","k_median_nozero","count","tot_count","density"
0,1753.33333333333,43873.3333333333,0.484153386653235,0.022709407102,0.0703443258133333,0.115082728666667,0.209253791866667,0.1516470218,0.196034017333333,0.230917198,0.212147973333333,0.19568477,0.346536410666667,27686.6666666667,34433.3333333333,7171.46666666667,717157.2,0.00671441736666667
1,4793.33333333333,38266.6666666667,0.490147093816668,0.0194583203133333,0.06961180102,0.119819184466667,0.208650868266667,0.156648333,0.199118063466667,0.240330147333333,0.1952525896,0.1772969362,0.334610046666667,28733.3333333333,34766.6666666667,7171.53333333333,717157.2,0.00676866993333333
2,6893.33333333333,39933.3333333333,0.498491005630434,0.020059584988,0.07263905696,0.121606882733333,0.213531958266667,0.169767973466667,0.1934945982,0.226778858266667,0.196426610666667,0.176647562,0.352692928666667,29700,35780,7171.6,717157.2,0.00695500918
3,8560,40040,0.505134078236297,0.0192381490433333,0.0737339245,0.128108775866667,0.222161922133333,0.172402772666667,0.195178071533333,0.219615471533333,0.190641757533333,0.174566243733333,0.346453457333333,30746.6666666667,37606.6666666667,7171.53333333333,717157.2,0.00704009580666667
4,9973.33333333333,37980,0.508058586590745,0.0156380712673333,0.0709437905533333,0.129406963533333,0.2223488028,0.179484985466667,0.192018395,0.2172967916,0.188851024666667,0.1723322534,0.349500414,30526.6666666667,37080,7171.6,717157.2,0.00722328222666667
5,11206.6666666667,38200,0.505531781635491,0.0160018291366667,0.0698136429533333,0.125135444,0.219791605133333,0.171744535933333,0.2028927718,0.215258026333333,0.190313057333333,0.175538275333333,0.348418772,30466.6666666667,36966.6666666667,7171.53333333333,717157.2,0.00723837395333333
6,12300,39926.6666666667,0.518145773765515,0.0144300696053333,0.0709697448733333,0.122655711266667,0.229615661266667,0.1831612162,0.200249039333333,0.213620174666667,0.173353916,0.1562059448,0.354535804,31820,37500,7171.6,717157.2,0.00717440856666667
7,13346.6666666667,38026.6666666667,0.506255480866036,0.014678895818,0.0691873513266667,0.121560669333333,0.2143146242,0.178295515,0.205183291666667,0.216352771266667,0.185853807333333,0.170854446266667,0.368574555333333,30313.3333333333,36820,7171.6,717157.2,0.0072134462
8,14300,39280,0.516223400091368,0.0186950326333333,0.0737165968533333,0.1260142168,0.2245237994,0.1864205214,0.202180681133333,0.206855769066667,0.180019228666667,0.162954627533333,0.364524226666667,31833.3333333333,37593.3333333333,7171.53333333333,717157.2,0.00731949469333333
9,15266.6666666667,39106.6666666667,0.512991164037179,0.0210472862873333,0.0733595334866667,0.128550689133333,0.226394131,0.17406277,0.199787978666667,0.219820986733333,0.179934136,0.163021753066667,0.369875596666667,31746.6666666667,38086.6666666667,7171.6,717157.2,0.00739629104666667
